frame_index,stamp_sec,stamp_nsec,base_link_x,base_link_y,base_link_yaw,base_link_op_x,base_link_op_y,base_link_op_yaw
156,11301,327000000,3.794322,-3.947784,2.092392,-2.716648,-7.698284,-0.319890
157,11301,427000000,3.742693,-3.862116,2.161912,-2.620367,-7.727400,-0.292742
158,11301,526000000,3.681544,-3.782854,2.240059,-2.523559,-7.754320,-0.283645
159,11301,626000000,3.650242,-3.698425,2.224302,-2.441509,-7.770406,-0.279759
160,11301,726000000,3.588460,-3.619658,2.224302,-2.344826,-7.796995,-0.273773
161,11301,826000000,3.529161,-3.523921,2.218160,-2.248066,-7.823013,-0.261441
162,11301,926000000,3.468342,-3.444475,2.218160,-2.139642,-7.843681,-0.253762
163,11302,26000000,3.407668,-3.364938,2.218171,-2.042462,-7.867690,-0.239008
164,11302,127000000,3.350800,-3.287260,2.213799,-1.944947,-7.890160,-0.229202
165,11302,226000000,3.290656,-3.207345,2.213803,-1.836479,-7.913321,-0.213832
166,11302,326000000,3.230563,-3.127398,2.213807,-1.738494,-7.933418,-0.204053
167,11302,427000000,3.170562,-3.041652,2.212351,-1.640363,-7.952707,-0.192916
168,11302,526000000,3.110653,-2.961576,2.212326,-1.530489,-7.970662,-0.183838
169,11302,626000000,3.050766,-2.881486,2.212327,-1.432028,-7.988059,-0.173030
170,11302,726000000,2.990892,-2.801388,2.212327,-1.333384,-8.004354,-0.166069
171,11302,827000000,2.926176,-2.713999,2.215481,-1.230218,-8.023971,-0.160582
172,11302,926000000,2.866067,-2.634079,2.215475,-1.131399,-8.039124,-0.153397
173,11303,26000000,2.805962,-2.554157,2.215474,-1.032475,-8.053554,-0.140925
174,11303,127000000,2.743686,-2.475948,2.298733,-0.935084,-8.069437,-0.133773
175,11303,226000000,2.664829,-2.403007,2.437057,-0.835889,-8.081884,-0.123537
176,11303,326000000,2.583232,-2.344525,2.517663,-0.736566,-8.093275,-0.114191
177,11303,426000000,2.500310,-2.287958,2.517639,-0.638983,-8.104278,-0.096935
178,11303,526000000,2.417878,-2.230874,2.517663,-0.539394,-8.113077,-0.089848
179,11303,626000000,2.337529,-2.171726,2.512804,-0.439765,-8.121405,-0.085020
180,11303,727000000,2.255989,-2.113599,2.512798,-0.354564,-8.129703,-0.088944
181,11303,826000000,2.174636,-2.055275,2.512800,-0.254944,-8.138105,-0.083227
182,11303,927000000,2.085330,-1.990932,2.512796,-0.145265,-8.146474,-0.073817
183,11304,26000000,2.010832,-1.928506,2.506280,-0.037754,-8.156222,-0.064296
184,11304,126000000,1.930170,-1.869337,2.506278,0.062067,-8.161858,-0.057886
185,11304,226000000,1.821277,-1.837783,2.520509,0.161923,-8.166843,-0.047854
186,11304,326000000,1.739867,-1.779679,2.520563,0.262878,-8.162669,-0.035105
187,11304,426000000,1.658479,-1.721554,2.520534,0.362825,-8.165450,-0.027466
188,11304,527000000,1.577110,-1.663407,2.520543,0.462785,-8.167745,-0.029117
189,11304,626000000,1.504100,-1.590085,2.513414,0.575306,-8.168372,-0.025317
190,11304,727000000,1.423170,-1.531338,2.513411,0.675266,-8.170533,-0.022505
191,11304,826000000,1.342246,-1.472584,2.513427,0.775234,-8.172330,-0.015975
192,11304,926000000,1.261326,-1.413827,2.513426,0.889964,-8.168988,-0.006166
193,11305,26000000,1.179396,-1.361443,2.518498,0.989951,-8.169033,0.002419
194,11305,126000000,1.098185,-1.303091,2.518493,1.089936,-8.168055,0.011643
195,11305,227000000,1.016975,-1.244738,2.518492,1.184459,-8.178433,0.008952
196,11305,326000000,0.937048,-1.184675,2.445728,1.284439,-8.176882,0.018327
197,11305,427000000,0.870383,-1.116683,2.306976,1.384394,-8.174047,0.032959
198,11305,527000000,0.809486,-1.036848,2.220740,1.495292,-8.141285,0.062908
199,11305,626000000,0.751061,-0.955166,2.220798,1.595032,-8.134001,0.069419
200,11305,726000000,0.692051,-0.874060,2.220795,1.694778,-8.126864,0.059439
201,11305,826000000,0.641757,-0.802883,2.224405,1.791492,-8.117437,0.050616
202,11305,926000000,0.582122,-0.722305,2.224406,1.891311,-8.112214,0.058152
203,11306,27000000,0.521711,-0.642519,2.221490,1.991123,-8.105924,0.064404
204,11306,127000000,0.464634,-0.560372,2.111933,2.093291,-8.087787,0.087093
205,11306,226000000,0.420984,-0.470172,1.947519,2.192830,-8.078133,0.097744
206,11306,327000000,0.390655,-0.394750,1.758537,2.292260,-8.067416,0.111540
207,11306,426000000,0.386315,-0.293385,1.547368,2.394761,-8.050098,0.124837
208,11306,526000000,0.414045,-0.177011,1.320032,2.493828,-8.036415,0.148132
209,11306,626000000,0.451889,-0.081190,1.245656,2.592505,-8.020077,0.163440
210,11306,726000000,0.489712,0.013856,1.245644,2.682577,-8.001944,0.191091
211,11306,827000000,0.513593,0.112414,1.247050,2.780364,-7.980825,0.214682
212,11306,927000000,0.548463,0.207404,1.247052,2.877585,-7.957209,0.253716
213,11307,26000000,0.582469,0.302353,1.247056,2.957040,-7.932749,0.324122
214,11307,126000000,0.615844,0.397272,1.247093,3.025643,-7.904399,0.369534
215,11307,226000000,0.682903,0.507276,1.232967,3.113763,-7.866567,0.422326
216,11307,327000000,0.732601,0.597524,1.229732,3.195964,-7.823924,0.461428
217,11307,426000000,0.775138,0.688302,1.233665,3.282967,-7.776616,0.510448
218,11307,526000000,0.808605,0.782706,1.233661,3.367895,-7.724120,0.553577
219,11307,627000000,0.841953,0.877103,1.233660,3.453783,-7.682695,0.602272
220,11307,727000000,0.868964,0.977365,1.240264,3.512337,-7.636363,0.644066
221,11307,826000000,0.904935,1.070695,1.138325,3.586890,-7.575305,0.708411
222,11307,926000000,0.955206,1.157289,0.959557,3.625473,-7.534475,0.753781
223,11308,26000000,1.048294,1.222155,0.770283,3.692258,-7.466558,0.811781
224,11308,126000000,1.124235,1.288791,0.766611,3.743984,-7.404838,0.854441
225,11308,226000000,1.199108,1.356172,0.766610,3.799560,-7.338229,0.862801
226,11308,326000000,1.273189,1.424113,0.766609,3.859508,-7.273955,0.889662
227,11308,427000000,1.349309,1.495417,0.768742,3.919917,-7.194590,0.924213
228,11308,527000000,1.429448,1.571156,0.768735,3.983414,-7.104519,0.980487
229,11308,627000000,1.500326,1.633081,0.772931,4.036908,-7.018186,1.018079
230,11308,727000000,1.572456,1.702540,0.772924,4.073763,-6.931663,1.062902
231,11308,826000000,1.667842,1.764873,0.767278,4.119411,-6.840616,1.121418
232,11308,926000000,1.740094,1.834109,0.767266,4.159014,-6.746800,1.175237
233,11309,26000000,1.810680,1.899073,0.766867,4.195123,-6.651723,1.201604
234,11309,126000000,1.882822,1.968374,0.766867,4.229403,-6.556190,1.212203
235,11309,226000000,1.954923,2.037702,0.766867,4.256217,-6.468129,1.243320
236,11309,327000000,2.026998,2.107047,0.766825,4.285713,-6.371424,1.273414
237,11309,426000000,2.099053,2.176404,0.766825,4.313044,-6.274264,1.295356
238,11309,526000000,2.190017,2.227532,0.734203,4.338212,-6.176681,1.312596
239,11309,626000000,2.268323,2.289655,0.603234,4.357584,-6.070287,1.345724
240,11309,727000000,2.352195,2.344434,0.601917,4.377599,-5.971777,1.370052
241,11309,826000000,2.446726,2.397147,0.602189,4.395349,-5.872929,1.395639
242,11309,926000000,2.529894,2.452827,0.602202,4.422750,-5.765701,1.412001
243,11310,26000000,2.612849,2.508778,0.602204,4.436681,-5.666384,1.432410
244,11310,127000000,2.695651,2.564926,0.602201,4.447924,-5.566777,1.460943
245,11310,226000000,2.796205,2.613806,0.594131,4.441887,-5.459221,1.496378
246,11310,326000000,2.879267,2.669530,0.594148,4.446275,-5.359127,1.526312
247,11310,426000000,2.962271,2.725328,0.594124,4.448571,-5.258992,1.541930
248,11310,526000000,3.045235,2.781178,0.594126,4.445029,-5.145058,1.553943
249,11310,626000000,3.127591,2.816521,0.594829,4.445343,-5.044970,1.566888
250,11310,726000000,3.210465,2.872494,0.594824,4.443046,-4.944925,1.612286
251,11310,826000000,3.293325,2.928486,0.594823,4.429817,-4.872637,1.666905
252,11310,926000000,3.376174,2.984491,0.594818,4.417252,-4.777561,1.718174
253,11311,26000000,3.458464,3.038558,0.584535,4.401672,-4.707831,1.778957
254,11311,126000000,3.541872,3.093724,0.584540,4.387853,-4.648589,1.841255
255,11311,226000000,3.623640,3.151243,0.669392,4.365194,-4.585512,1.895295
256,11311,326000000,3.696890,3.219412,0.824003,4.339058,-4.524523,1.959378
257,11311,426000000,3.751315,3.302053,0.965268,4.299286,-4.463773,2.026905
