frame_index,stamp_sec,stamp_nsec,global_x,global_y
433,1162,314000000,-4.401226,-6.288686
434,1162,414000000,-4.378518,-6.359021
435,1162,514000000,-4.347119,-6.449633
436,1162,614000000,-4.318310,-6.524859
437,1162,714000000,-4.276962,-6.610219
438,1162,814000000,-4.239023,-6.670909
439,1162,914000000,-4.177790,-6.740536
440,1163,14000000,-4.130861,-6.798582
441,1163,114000000,-4.070547,-6.869837
442,1163,214000000,-3.995284,-6.924767
443,1163,314000000,-3.923781,-6.993591
444,1163,414000000,-3.848264,-7.060014
445,1163,514000000,-3.770905,-7.125336
446,1163,614000000,-3.701281,-7.174326
447,1163,714000000,-3.619992,-7.235361
448,1163,814000000,-3.536183,-7.292841
449,1163,914000000,-3.450802,-7.347733
450,1164,14000000,-3.359504,-7.393258
451,1164,114000000,-3.271077,-7.442457
452,1164,214000000,-3.181202,-7.488618
453,1164,314000000,-3.090700,-7.533160
454,1164,414000000,-2.990805,-7.582717
455,1164,514000000,-2.897354,-7.620077
456,1164,614000000,-2.803219,-7.655360
457,1164,714000000,-2.698903,-7.691768
458,1164,814000000,-2.595249,-7.721756
459,1164,914000000,-2.499583,-7.751811
460,1165,14000000,-2.403668,-7.780830
461,1165,114000000,-2.294498,-7.790944
462,1165,214000000,-2.197742,-7.816682
463,1165,314000000,-2.100652,-7.841010
464,1165,414000000,-2.003666,-7.865598
465,1165,514000000,-1.911660,-7.878599
466,1165,614000000,-1.814351,-7.901715
467,1165,714000000,-1.714092,-7.926852
468,1165,814000000,-1.616398,-7.948188
469,1165,914000000,-1.518367,-7.967916
470,1166,14000000,-1.409361,-7.975854
471,1166,114000000,-1.310726,-7.992283
472,1166,214000000,-1.212009,-8.008174
473,1166,314000000,-1.118207,-8.037659
474,1166,414000000,-1.019626,-8.054312
475,1166,514000000,-0.920808,-8.069502
476,1166,614000000,-0.821664,-8.082464
477,1166,714000000,-0.720809,-8.078926
478,1166,814000000,-0.621299,-8.088742
479,1166,914000000,-0.524055,-8.116118
480,1167,14000000,-0.424743,-8.127686
481,1167,114000000,-0.325300,-8.138067
482,1167,214000000,-0.235128,-8.143357
483,1167,314000000,-0.135326,-8.149629
484,1167,414000000,-0.035482,-8.155179
485,1167,514000000,0.067511,-8.160849
486,1167,614000000,0.167394,-8.165590
487,1167,714000000,0.267304,-8.169692
488,1167,814000000,0.367232,-8.173302
489,1167,914000000,0.476239,-8.182519
